nome,genero,presença_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,data_nascimento,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_mai_par,gasto_jun_par,gasto_jul_par,gasto_ago_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,salario_bruto_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_mai_gab,gasto_jun_gab,gasto_jul_gab,gasto_ago_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto,quant_viagem
KIM PATROCA KATAGUIRI,M,84 dias,4 dias,4 dias,62 reuniões,12 reuniões,3 reuniões,28/01/1996,"207.975,10","15.889,67","9.310,42","33.877,21","35.453,98","36.648,40","30.223,62","22.699,49","16.601,85","3.139,41","4.131,05",não contabilizados,não contabilizados,33763.0,"207.975,10","75.731,76","77.161,59","78.158,12","78.158,12","78.158,12","78.158,12","71.671,03","74.027,30","75.335,08","78.886,98",não contabilizados,não contabilizados,33763.0,1
LAFAYETTE LUIZ DOORGAL DE ANDRADA,M,87 dias,0 dias,5 dias,59 reuniões,27 reuniões,0 reuniões,17/10/1966,"384.049,42","29.251,73","39.861,64","52.826,59","42.134,64","41.334,11","44.226,72","44.285,13","35.678,49","26.877,94","24.405,70",não contabilizados,não contabilizados,33763.0,"384.049,42","111.544,46","111.544,46","111.544,46","111.544,46","111.263,26","110.390,91","109.863,03","108.952,78","109.202,03","108.791,53",não contabilizados,não contabilizados,33763.0,
LAERCIO JOSÉ DE OLIVEIRA,M,72 dias,6 dias,14 dias,16 reuniões,7 reuniões,5 reuniões,15/04/1959,"311.444,97","20.598,89","31.888,12","37.935,34","49.827,18","37.808,58","37.653,44","39.566,37","25.894,47","5.389,55","18.814,62",não contabilizados,não contabilizados,33763.0,"311.444,97","103.604,23","107.290,08","109.521,54","109.909,05","111.647,51","111.647,51","111.647,51","107.801,38","106.867,63","106.867,63",não contabilizados,não contabilizados,33763.0,
LEONARDO CUNHA DE BRITO,M,86 dias,2 dias,4 dias,36 reuniões,9 reuniões,5 reuniões,13/04/1979,"424.565,90","64.865,56","69.430,57","43.427,25","44.023,23","56.266,09","40.451,85","28.627,98","32.993,68","24.136,85","19.519,34",não contabilizados,não contabilizados,33763.0,"424.565,90","104.448,63","109.685,94","109.463,10","109.785,38","109.997,68","108.567,57","109.778,55","109.943,69","110.738,33","111.550,55",não contabilizados,não contabilizados,33763.0,
LEONARDO BARRETO DE MORAES,M,81 dias,3 dias,8 dias,61 reuniões,1 reuniões,5 reuniões,11/01/1984,"221.773,94","13.458,24","17.561,59","41.858,77","39.472,79","46.876,47","27.265,70","10.199,77","4.604,15","1.514,89","18.486,41",não contabilizados,não contabilizados,33763.0,"221.773,94","109.730,68","109.730,68","104.705,05","78.211,65","98.387,94","102.628,37","103.449,01","93.605,55","69.793,32","88.648,62",não contabilizados,não contabilizados,33763.0,
ELIEL MÁRCIO DO CARMO,M,79 dias,8 dias,5 dias,12 reuniões,20 reuniões,1 reuniões,26/10/1973,"275.057,60","31.696,46","33.415,26","41.054,56","36.954,21","40.691,83","31.408,70","21.963,05","10.012,55","6.213,10","20.620,89",não contabilizados,não contabilizados,33763.0,"275.057,60","111.342,23","108.446,45","105.583,01","110.106,32","109.512,89","108.231,60","106.012,51","105.725,06","103.118,90","106.095,00",não contabilizados,não contabilizados,33763.0,
JOSÉ LEONARDO COSTA MONTEIRO,M,90 dias,0 dias,2 dias,78 reuniões,31 reuniões,2 reuniões,09/10/1951,"370.539,54","30.287,88","38.974,45","44.293,05","49.461,68","42.783,49","32.773,39","37.659,13","39.429,92","28.141,96","26.644,63",não contabilizados,não contabilizados,33763.0,"370.539,54","111.277,54","111.461,68","111.544,44","111.544,44","111.544,44","111.549,09","111.399,39","111.591,36","111.580,80","111.580,80",não contabilizados,não contabilizados,33763.0,
JOSÉ LEÔNIDAS DE MENEZES CRISTINO,M,85 dias,0 dias,7 dias,48 reuniões,18 reuniões,5 reuniões,03/06/1957,"283.122,63","32.267,47","34.350,83","36.617,13","40.189,49","36.516,96","25.613,05","35.368,62","14.652,50","7.798,15","18.180,68",não contabilizados,não contabilizados,33763.0,"283.122,63","95.364,13","97.315,51","97.580,89","100.457,10","101.325,85","102.548,80","102.548,80","102.548,80","102.548,80","102.548,80",não contabilizados,não contabilizados,33763.0,
LEUR ANTONIO DE BRITTO LOMANTO JUNIOR,M,82 dias,4 dias,6 dias,29 reuniões,43 reuniões,11 reuniões,28/10/1976,"350.641,16","30.310,76","39.689,23","42.708,93","44.491,12","47.331,80","40.167,99","35.099,32","30.877,77","25.888,18","13.973,40",não contabilizados,não contabilizados,33763.0,"350.641,16","111.466,21","110.033,89","110.033,89","110.625,91","111.513,95","110.154,40","103.839,72","109.962,87","110.185,54","107.974,85",não contabilizados,não contabilizados,33763.0,
LINCOLN DINIZ PORTELA,M,86 dias,1 dias,5 dias,9 reuniões,0 reuniões,0 reuniões,03/11/1953,"302.380,75","24.877,94","37.260,00","28.541,76","33.349,11","37.659,28","37.644,95","32.037,05","27.785,28","19.637,79","23.587,59",não contabilizados,não contabilizados,33763.0,"302.380,75","111.204,76","111.204,76","111.204,76","110.871,12","105.937,25","106.809,84","108.941,95","109.398,07","109.763,49","110.179,61",não contabilizados,não contabilizados,33763.0,
LOESTER CARLOS GOMES DE SOUZA,M,66 dias,25 dias,1 dias,8 reuniões,0 reuniões,0 reuniões,21/09/1982,"427.961,76","51.222,08","55.278,77","68.803,71","41.378,22","24.009,95","28.151,93","27.178,56","45.367,11","40.789,46","45.377,79",não contabilizados,não contabilizados,33763.0,"427.961,76","108.697,08","108.954,19","109.105,86","109.798,14","111.299,32","95.357,90","101.706,13","105.392,98","105.314,71","102.987,41",não contabilizados,não contabilizados,33763.0,
LUCAS BELLO REDECKER,M,85 dias,3 dias,4 dias,49 reuniões,2 reuniões,4 reuniões,26/05/1981,"297.861,04","18.366,95","19.763,29","37.306,39","48.214,90","50.732,70","27.914,60","43.469,68","18.833,03","14.310,90","17.733,59",não contabilizados,não contabilizados,33763.0,"297.861,04","111.417,00","110.962,07","109.414,50","108.345,27","110.762,68","110.962,07","110.758,96","110.962,07","110.962,07","111.152,85",não contabilizados,não contabilizados,33763.0,
LUIS HENRIQUE DE OLIVEIRA RESENDE,M,65 dias,0 dias,27 dias,0 reuniões,1 reuniões,0 reuniões,23/07/1971,"228.064,88","25.577,63","20.154,79","20.262,58","21.384,26","23.717,87","83.724,33","12.724,71","6.700,30","7.096,25","246,71",não contabilizados,não contabilizados,33763.0,"228.064,88","102.787,88","107.579,52","107.414,98","106.200,45","102.578,95","103.260,32","87.097,78","88.793,47","86.249,93","84.639,17",não contabilizados,não contabilizados,33763.0,
LUCIANO DUCCI,M,83 dias,9 dias,0 dias,28 reuniões,21 reuniões,0 reuniões,23/03/1955,"325.541,91","46.474,19","48.810,14","35.792,35","32.052,26","47.967,64","31.152,19","36.214,31","17.713,75","17.321,87","12.043,21",não contabilizados,não contabilizados,33763.0,"325.541,91","109.566,95","109.566,95","109.566,95","109.566,97","107.107,37","108.864,14","110.895,38","110.895,38","110.895,38","110.895,38",não contabilizados,não contabilizados,33763.0,
LUCIO ANTONIO MOSQUINI,M,65 dias,9 dias,18 dias,7 reuniões,4 reuniões,10 reuniões,23/07/1969,"317.655,34","22.814,86","37.943,72","37.277,68","33.863,39","52.954,34","60.039,82","35.256,76","13.602,35","5.303,46","17.979,22",não contabilizados,não contabilizados,33763.0,"317.655,34","103.573,81","103.573,81","104.259,44","105.167,90","105.078,15","105.577,36","103.610,02","109.603,64","107.559,68","107.026,06",não contabilizados,não contabilizados,33763.0,1
LUIS CLAUDIO FERNANDES MIRANDA,M,91 dias,0 dias,1 dias,65 reuniões,0 reuniões,0 reuniões,27/03/1980,"198.128,85","16.743,53","33.704,02","30.605,59","26.090,58","21.766,24","23.916,74","17.430,46","16.138,85","4.746,41","6.649,23",não contabilizados,não contabilizados,33763.0,"198.128,85","106.579,01","108.384,08","109.890,74","110.052,17","110.052,17","108.853,56","107.084,79","108.333,76","106.788,74","106.788,74",não contabilizados,não contabilizados,33763.0,
MÁRCIO CARLOS MARINHO,M,74 dias,7 dias,11 dias,21 reuniões,6 reuniões,5 reuniões,12/12/1970,"377.422,20","28.608,42","24.612,71","87.100,11","35.803,17","42.787,11","34.980,07","29.850,24","23.287,44","13.207,27","54.226,75",não contabilizados,não contabilizados,33763.0,"377.422,20","111.538,42","111.538,42","111.538,42","111.538,42","111.304,79","104.295,83","108.413,15","103.411,20","97.135,73","95.876,46",não contabilizados,não contabilizados,33763.0,1
MARCO AURELIO BERTAIOLLI,M,88 dias,3 dias,1 dias,26 reuniões,3 reuniões,0 reuniões,30/04/1968,"206.196,99","28.128,86","30.235,56","22.907,70","47.414,10","40.248,99","17.222,16","7.514,38","7.024,35","3.337,00","2.163,89",não contabilizados,não contabilizados,33763.0,"206.196,99","104.253,35","107.457,85","110.229,17","106.982,17","106.721,56","95.359,26","95.003,00","95.003,00","95.003,00","94.241,84",não contabilizados,não contabilizados,33763.0,
LOURIVAL GOMES DE ALMEIDA,M,86 dias,3 dias,3 dias,14 reuniões,5 reuniões,2 reuniões,22/07/1955,"314.643,56","14.519,64","25.717,22","37.716,76","46.990,20","74.614,42","33.015,39","23.533,31","15.875,95","17.628,00","24.074,18",não contabilizados,não contabilizados,33763.0,"314.643,56","111.124,38","110.908,22","111.228,05","111.285,85","111.586,93","111.489,89","110.688,82","111.413,02","111.471,72","104.496,00",não contabilizados,não contabilizados,33763.0,
DIONILSO MATEUS MARCON,M,82 dias,9 dias,1 dias,41 reuniões,6 reuniões,5 reuniões,21/09/1964,"358.478,31","33.805,52","34.685,04","46.776,77","67.340,35","43.567,04","42.706,44","25.113,89","25.890,66","17.413,91","19.958,86",não contabilizados,não contabilizados,33763.0,"358.478,31","111.534,30","110.974,31","110.974,31","110.974,31","111.019,51","111.334,03","110.348,97","111.528,69","111.623,40","111.623,40",não contabilizados,não contabilizados,33763.0,
LUCAS DE VASCONCELOS GONZALEZ,M,88 dias,2 dias,2 dias,31 reuniões,15 reuniões,1 reuniões,21/12/1988,"141.356,58","14.001,15","13.315,11","17.768,47","23.175,15","28.588,17","17.992,12","7.639,28","4.616,15","6.645,82","7.490,33",não contabilizados,não contabilizados,33763.0,"141.356,58","68.437,72","62.951,08","63.166,33","67.438,96","71.384,50","74.468,04","66.881,33","62.426,29","60.148,68","79.772,15",não contabilizados,não contabilizados,33763.0,
MARCOS AURÉLIO  PÁDUA RIBEIRO GONÇALVES DE SAMPAIO,M,86 dias,3 dias,3 dias,3 reuniões,45 reuniões,5 reuniões,19/09/1991,"320.743,52","37.229,73","45.797,72","35.296,78","47.661,27","43.605,72","29.896,24","19.412,64","13.864,08","13.561,10","34.248,24",não contabilizados,não contabilizados,33763.0,"320.743,52","111.453,36","111.453,36","111.453,36","111.453,36","110.719,20","111.453,36","110.990,79","110.945,59","110.315,41","107.940,85",não contabilizados,não contabilizados,33763.0,
MARCOS ANTONIO PEREIRA,M,79 dias,0 dias,13 dias,32 reuniões,2 reuniões,6 reuniões,04/04/1972,"171.852,69","33.000,03","21.288,53","42.830,84","19.781,81","31.532,05","17.820,20","2.744,05","883,19","735,01","978,18",não contabilizados,não contabilizados,33763.0,"171.852,69","111.386,70","111.386,70","111.386,70","111.386,70","111.386,70","111.180,66","109.193,42","111.386,70","111.386,70","111.386,70",não contabilizados,não contabilizados,33763.0,
MÁRIO LÚCIO HERINGER,M,78 dias,11 dias,3 dias,38 reuniões,22 reuniões,2 reuniões,30/09/1954,"274.347,68","35.777,47","30.872,80","52.890,28","44.007,32","33.664,82","25.044,69","27.897,92","11.606,96","7.490,70","5.000,00",não contabilizados,não contabilizados,33763.0,"274.347,68","108.960,32","108.960,32","110.437,25","111.355,11","110.648,37","110.896,10","110.606,09","111.538,27","111.538,27","111.538,27",não contabilizados,não contabilizados,33763.0,
MARIO S. M. NEGROMONTE JR.,M,71 dias,2 dias,19 dias,7 reuniões,7 reuniões,8 reuniões,31/08/1980,"284.307,76","26.386,19","33.065,98","33.489,75","58.105,20","54.891,47","26.596,75","27.166,91","10.040,39","1.001,41","13.563,71",não contabilizados,não contabilizados,33763.0,"284.307,76","111.647,56","111.647,56","111.647,56","111.647,56","111.647,55","111.647,55","111.647,55","111.647,55","111.647,55","111.647,55",não contabilizados,não contabilizados,33763.0,
MARLON ARATOR SANTOS DA ROSA,M,63 dias,20 dias,9 dias,7 reuniões,3 reuniões,4 reuniões,25/09/1975,"342.082,31","24.466,62","19.158,58","27.520,14","82.930,62","59.334,20","35.941,42","30.893,15","15.236,67","14.231,43","30.169,78",não contabilizados,não contabilizados,33763.0,"342.082,31","111.188,97","111.502,04","111.502,04","111.502,04","111.502,04","109.087,84","111.502,04","111.502,04","111.502,04","104.960,35",não contabilizados,não contabilizados,33763.0,
ANTONIO DA CRUZ FILGUEIRA NETO,M,76 dias,4 dias,12 dias,17 reuniões,16 reuniões,13 reuniões,25/04/1992,"420.870,26","52.702,54","51.161,51","54.284,92","48.630,65","43.394,41","32.253,04","34.492,26","31.643,88","27.540,63","42.959,03",não contabilizados,não contabilizados,33763.0,"420.870,26","111.586,84","110.907,07","111.283,58","111.283,58","111.283,58","111.283,58","111.283,58","111.283,58","111.283,58","111.283,58",não contabilizados,não contabilizados,33763.0,
MARX BELTRÃO LIMA SIQUEIRA,M,83 dias,3 dias,6 dias,32 reuniões,24 reuniões,4 reuniões,28/11/1979,"286.848,74","43.947,39","60.863,33","59.802,08","39.037,85","24.587,92","10.485,07","8.409,92","2,48","198,65","39.514,05",não contabilizados,não contabilizados,33763.0,"286.848,74","111.500,15","105.630,21","108.240,46","111.402,45","111.417,01","111.417,01","111.417,01","111.387,27","111.301,75","111.301,75",não contabilizados,não contabilizados,33763.0,
LUCAS DE CASTRO SANTOS,M,67 dias,0 dias,25 dias,19 reuniões,58 reuniões,12 reuniões,08/04/1987,"228.649,05","22.480,50","18.432,79","22.998,58","21.079,17","26.003,40","20.905,29","18.201,85","23.018,52","21.902,15","33.626,80",não contabilizados,não contabilizados,33763.0,"228.649,05","111.617,15","111.617,15","111.617,15","111.617,15","111.617,15","111.617,15","109.647,32","110.427,08","110.907,87","111.653,56",não contabilizados,não contabilizados,33763.0,
LUCIANO CALDAS BIVAR,M,51 dias,0 dias,41 dias,0 reuniões,0 reuniões,0 reuniões,29/11/1944,"185.857,07","18.381,42","23.290,80","32.989,31","19.048,08","43.618,09","14.831,36","14.148,53","7.726,22","9.042,28","2.778,63",não contabilizados,não contabilizados,33763.0,"185.857,07","91.073,95","93.911,18","93.911,18","88.454,35","95.106,71","98.832,14","103.178,96","109.418,54","111.356,48","111.356,48",não contabilizados,não contabilizados,33763.0,
MAURÍCIO ALEXANDRE DZIEDRICKI,M,90 dias,1 dias,1 dias,11 reuniões,20 reuniões,8 reuniões,26/07/1979,"378.904,42","28.557,96","41.243,96","59.588,36","44.634,78","61.628,19","34.814,58","28.693,50","28.155,60","27.746,72","23.740,77",não contabilizados,não contabilizados,33763.0,"378.904,42","111.082,77","111.611,06","111.268,24","110.282,65","109.535,38","108.881,43","102.269,49","108.505,54","111.074,03","110.218,46",não contabilizados,não contabilizados,33763.0,
CARLOS MAURO BENEVIDES FILHO,M,88 dias,0 dias,4 dias,28 reuniões,0 reuniões,1 reuniões,09/03/1959,"259.295,91","21.129,13","18.098,14","36.566,13","44.445,37","32.089,23","29.659,65","21.607,31","13.765,35","7.891,60","33.025,01",não contabilizados,não contabilizados,33763.0,"259.295,91","93.447,35","99.891,99","102.672,10","105.278,45","105.278,45","105.278,45","103.707,60","97.162,37","97.162,37","97.162,37",não contabilizados,não contabilizados,33763.0,1
MAURO RIBEIRO LOPES,M,84 dias,8 dias,0 dias,20 reuniões,24 reuniões,0 reuniões,24/05/1936,"332.160,11","29.210,99","42.786,99","43.725,40","42.443,21","51.164,98","31.636,03","29.963,37","26.198,94","19.363,50","15.666,70",não contabilizados,não contabilizados,33763.0,"332.160,11","111.241,16","111.241,16","111.038,05","110.514,27","111.241,16","111.241,16","111.241,16","104.860,70","98.879,02","109.466,00",não contabilizados,não contabilizados,33763.0,
MAURO NAZIF RASUL,M,91 dias,1 dias,0 dias,36 reuniões,25 reuniões,0 reuniões,30/01/1959,"105.889,65","4.235,25","3.815,58","13.417,43","17.031,41","26.117,27","21.453,99","8.734,30","4.519,14","1,25","6.106,45",não contabilizados,não contabilizados,33763.0,"105.889,65","110.974,34","110.974,34","110.974,34","110.974,34","110.974,34","110.869,40","110.263,46","110.130,21","110.974,34","110.974,34",não contabilizados,não contabilizados,33763.0,
MERLONG SOLANO NOGUEIRA,M,83 dias,1 dias,8 dias,49 reuniões,15 reuniões,5 reuniões,17/09/1958,"326.197,01","32.534,86","34.007,17","65.910,85","49.741,86","44.576,54","33.550,37","18.790,80","882,39","2.185,46","41.562,14",não contabilizados,não contabilizados,33763.0,"326.197,01","111.514,07","111.514,07","109.889,21","108.365,90","108.365,90","108.365,90","111.006,30","111.514,07","109.968,51","110.758,00",não contabilizados,não contabilizados,33763.0,
MIGUEL LOMBARDI,M,92 dias,0 dias,0 dias,59 reuniões,13 reuniões,0 reuniões,29/01/1964,"220.423,23","21.529,06","20.198,21","30.632,06","38.065,72","45.564,65","12.768,86","16.882,42","10.720,35","11.587,90","8.071,09",não contabilizados,não contabilizados,33763.0,"220.423,23","110.285,02","110.027,91","108.913,76","108.699,50","108.742,35","110.027,91","110.185,82","111.659,62","111.659,62","111.659,62",não contabilizados,não contabilizados,33763.0,
MILTON COELHO DA SILVA NETO,M,73 dias,9 dias,10 dias,13 reuniões,8 reuniões,5 reuniões,21/12/1964,"415.186,29","41.372,83","54.381,30","41.283,16","61.001,85","69.046,75","36.898,77","32.238,51","31.948,13","25.293,35","20.799,93",não contabilizados,não contabilizados,33763.0,"415.186,29","98.440,42","99.358,12","99.358,12","99.628,66","106.925,15","98.996,63","107.236,13","110.253,98","110.995,68","111.066,80",não contabilizados,não contabilizados,33763.0,
MILTON VIEIRA PINTO,M,76 dias,7 dias,9 dias,20 reuniões,10 reuniões,5 reuniões,16/09/1962,"285.124,17","15.104,76","24.431,95","43.074,46","32.806,86","43.685,44","26.364,39","34.727,21","27.787,62","21.615,96","15.525,52",não contabilizados,não contabilizados,33763.0,"285.124,17","109.457,78","109.457,78","106.894,46","106.497,63","106.497,63","109.984,28","110.730,78","111.653,57","111.653,57","111.581,37",não contabilizados,não contabilizados,33763.0,
NERI GELLER,M,60 dias,18 dias,14 dias,25 reuniões,18 reuniões,7 reuniões,07/11/1968,"331.859,72","26.016,06","29.783,49","39.536,45","41.096,72","45.632,52","37.712,93","29.857,26","35.665,64","22.036,30","22.888,71",não contabilizados,não contabilizados,33763.0,"331.859,72","111.647,55","111.647,55","111.647,55","111.647,55","111.647,55","111.647,55","111.647,55","105.317,58","111.647,55","110.634,76",não contabilizados,não contabilizados,33763.0,1
NEUCIMAR FERREIRA FRAGA,M,87 dias,4 dias,1 dias,68 reuniões,7 reuniões,0 reuniões,26/06/1966,"361.685,36","34.545,81","33.612,52","49.730,98","55.029,76","67.613,75","35.393,03","21.575,54","12.366,55","10.463,83","38.694,76",não contabilizados,não contabilizados,33763.0,"361.685,36","111.368,66","111.040,46","111.107,83","111.107,83","109.270,87","107.980,30","110.501,19","110.501,19","107.478,78","108.566,32",não contabilizados,não contabilizados,33763.0,1
NEWTON CARDOSO JUNIOR,M,85 dias,6 dias,1 dias,25 reuniões,12 reuniões,1 reuniões,11/11/1979,"282.055,82","62.781,95","58.116,52","45.506,36","30.662,50","33.316,42","24.375,56","21.306,96","5.675,41","213,73","73,61",não contabilizados,não contabilizados,33763.0,"282.055,82","111.046,40","110.209,90","111.152,64","110.209,90","110.209,90","110.104,96","108.206,02","109.148,38","109.148,38","108.993,02",não contabilizados,não contabilizados,33763.0,1
MISAEL ARTUR FERREIRA VARELLA,M,72 dias,4 dias,16 dias,2 reuniões,9 reuniões,2 reuniões,27/11/1959,"299.785,19","40.550,65","28.772,67","40.433,83","36.515,71","55.694,58","22.863,70","26.098,84","9.549,21","6.139,63","32.867,48",não contabilizados,não contabilizados,33763.0,"299.785,19","111.649,87","111.538,32","111.538,32","111.538,32","111.538,32","111.538,32","111.538,32","111.538,32","111.463,71","109.877,65",não contabilizados,não contabilizados,33763.0,
NELSON NED PREVIDENTE,M,79 dias,4 dias,9 dias,20 reuniões,0 reuniões,0 reuniões,14/02/1960,"367.306,86","51.552,78","56.554,42","57.033,13","51.660,97","58.746,46","6.365,91","10.378,00","3.887,61","6.650,92","59.712,60",não contabilizados,não contabilizados,33763.0,"367.306,86","110.616,22","110.616,22","110.616,22","110.616,22","110.616,22","110.616,22","102.405,85","66.158,10","63.594,02","84.862,71",não contabilizados,não contabilizados,33763.0,
NEREU CRISPIM,M,76 dias,1 dias,15 dias,36 reuniões,14 reuniões,16 reuniões,21/07/1963,"421.208,83","52.892,77","67.730,02","46.926,51","36.681,89","35.764,37","43.612,55","21.861,94","16.947,45","12.990,65","84.534,84",não contabilizados,não contabilizados,33763.0,"421.208,83","109.332,85","110.197,30","111.617,15","111.498,26","111.444,57","109.844,51","108.850,50","107.832,63","108.701,27","108.613,75",não contabilizados,não contabilizados,33763.0,
ANTONIO CARLOS NICOLETTI,M,75 dias,16 dias,1 dias,59 reuniões,31 reuniões,0 reuniões,21/07/1981,"372.953,96","38.016,72","67.484,95","68.546,23","46.662,93","44.145,52","29.902,09","21.903,43","14.408,35","16.165,84","24.630,72",não contabilizados,não contabilizados,33763.0,"372.953,96","106.715,96","104.753,67","100.268,19","104.648,11","102.051,33","104.582,59","104.199,41","104.950,39","104.708,15","104.708,15",não contabilizados,não contabilizados,33763.0,
NILSON PINTO DE OLIVEIRA,M,77 dias,15 dias,0 dias,26 reuniões,39 reuniões,0 reuniões,25/03/1952,"340.817,41","39.664,04","46.872,66","56.655,20","37.457,02","35.301,13","36.143,13","32.546,53","26.440,59","14.982,99","14.304,13",não contabilizados,não contabilizados,33763.0,"340.817,41","111.368,62","111.368,62","111.368,62","109.207,75","109.771,77","111.671,95","111.671,95","110.439,24","109.852,23","105.380,71",não contabilizados,não contabilizados,33763.0,
NILTO IGNACIO TATTO,M,87 dias,1 dias,4 dias,28 reuniões,17 reuniões,4 reuniões,31/07/1963,"343.362,50","21.771,11","30.106,02","49.511,22","34.833,12","65.168,75","26.285,28","25.096,49","26.593,94","14.143,77","37.174,67",não contabilizados,não contabilizados,33763.0,"343.362,50","111.240,10","111.304,77","111.477,66","111.477,66","111.477,66","111.477,66","111.477,66","111.477,66","111.477,66","111.477,66",não contabilizados,não contabilizados,33763.0,1
NIVALDO FERREIRA DE ALBUQUERQUE NETO,M,67 dias,15 dias,10 dias,3 reuniões,19 reuniões,5 reuniões,07/01/1988,"394.279,73","51.142,75","32.527,80","37.455,06","44.128,80","45.988,02","40.122,75","36.721,32","36.428,86","25.644,56","44.119,81",não contabilizados,não contabilizados,33763.0,"394.279,73","109.956,52","110.816,48","110.816,48","110.816,48","110.816,48","110.835,89","111.538,32","111.538,32","111.538,32","109.870,03",não contabilizados,não contabilizados,33763.0,
ODAIR JOSÉ DA CUNHA,M,83 dias,3 dias,6 dias,10 reuniões,4 reuniões,1 reuniões,18/06/1976,"312.278,47","55.346,62","34.653,62","37.546,58","42.542,21","34.172,80","29.794,44","18.443,73","32.816,78","7.463,12","18.905,38",não contabilizados,não contabilizados,33763.0,"312.278,47","111.079,82","110.852,83","110.852,83","109.882,90","111.168,04","110.621,09","105.404,52","110.351,88","111.192,48","111.192,48",não contabilizados,não contabilizados,33763.0,
OLIVAL HENRIQUE MARQUES DE SOUZA,M,81 dias,5 dias,6 dias,14 reuniões,21 reuniões,1 reuniões,09/01/1982,"348.705,13","64.969,14","46.736,63","44.780,36","30.622,11","46.335,41","33.972,17","36.328,22","102,58","52,03","44.758,25",não contabilizados,não contabilizados,33763.0,"348.705,13","111.623,31","111.623,31","109.592,61","111.004,98","111.649,12","111.623,31","111.623,31","111.623,31","111.623,31","109.374,82",não contabilizados,não contabilizados,33763.0,
ORLANDO SILVA DE JESUS JUNIOR,M,86 dias,0 dias,6 dias,55 reuniões,29 reuniões,2 reuniões,27/05/1971,"347.684,93","34.078,45","50.115,29","48.011,52","36.761,90","35.143,24","42.254,79","31.343,85","29.333,12","17.559,57","22.948,20",não contabilizados,não contabilizados,33763.0,"347.684,93","111.617,03","111.617,03","111.617,03","111.617,03","111.617,03","110.482,75","110.592,71","110.092,96","111.501,80","110.935,34",não contabilizados,não contabilizados,33763.0,1
OSMAR JOSÉ SERRAGLIO,M,90 dias,0 dias,2 dias,18 reuniões,5 reuniões,1 reuniões,23/05/1948,"322.631,42","19.077,70","29.207,40","26.130,41","20.067,80","44.531,69","51.037,47","44.790,12","55.420,83","11.647,40","19.012,20",não contabilizados,não contabilizados,33763.0,"322.631,42","102.045,23","102.045,23","102.373,18","107.128,41","107.128,41","111.455,77","111.604,99","111.604,99","111.604,99","111.604,99",não contabilizados,não contabilizados,33763.0,
OSMAR GASPARINI TERRA,M,78 dias,1 dias,13 dias,51 reuniões,1 reuniões,19 reuniões,18/02/1950,"357.380,78","33.397,85","46.176,89","34.640,39","49.625,96","53.227,35","32.297,67","37.884,20","36.597,23","10.760,37","15.804,50",não contabilizados,não contabilizados,33763.0,"357.380,78","109.825,73","111.653,70","111.653,70","111.653,70","111.653,70","111.406,01","110.461,51","111.544,56","111.544,56","111.544,56",não contabilizados,não contabilizados,33763.0,
OSSESIO JOSE DA SILVA,M,91 dias,1 dias,0 dias,40 reuniões,24 reuniões,0 reuniões,09/12/1954,"347.749,81","22.856,08","32.967,51","44.885,09","44.251,03","42.878,97","36.165,64","32.571,00","36.167,25","24.417,17","28.495,13",não contabilizados,não contabilizados,33763.0,"347.749,81","95.126,13","100.049,61","100.049,61","101.155,61","107.399,42","109.451,62","109.451,62","109.451,62","109.451,62","107.193,99",não contabilizados,não contabilizados,33763.0,
OTONI MOURA DE PAULO JUNIOR,M,84 dias,4 dias,4 dias,22 reuniões,10 reuniões,5 reuniões,22/11/1976,"315.436,39","29.251,54","38.621,21","35.407,31","38.157,30","34.241,98","39.525,24","32.193,49","28.983,36","14.438,89","24.616,07",não contabilizados,não contabilizados,33763.0,"315.436,39","111.344,26","111.344,26","103.979,14","109.309,25","108.218,25","109.698,65","110.326,95","111.397,23","108.096,55","111.000,79",não contabilizados,não contabilizados,33763.0,
JOSE OTACI BARROSO DO NASCIMENTO,M,74 dias,14 dias,4 dias,9 reuniões,36 reuniões,3 reuniões,18/08/1977,"376.012,81","34.097,64","49.392,31","48.210,97","34.983,27","71.884,29","52.613,86","34.187,15","24.172,09","19.176,44","7.294,79",não contabilizados,não contabilizados,33763.0,"376.012,81","110.634,47","110.634,47","111.461,19","104.089,69","105.399,95","109.079,92","98.027,86","102.477,45","105.600,39","103.322,14",não contabilizados,não contabilizados,33763.0,
OTTO ROBERTO MENDONÇA DE ALENCAR FILHO,M,85 dias,0 dias,7 dias,38 reuniões,5 reuniões,3 reuniões,07/07/1977,"330.138,13","28.191,31","32.661,13","41.179,54","35.834,47","40.153,83","38.194,37","35.104,11","30.226,34","27.484,62","19.263,73",não contabilizados,não contabilizados,33763.0,"330.138,13","111.077,82","111.077,82","111.077,82","111.077,82","111.077,82","111.077,82","111.077,82","111.077,82","111.077,82","111.077,82",não contabilizados,não contabilizados,33763.0,
